Locus	Representative_gene_model	Symbol	Q_val_up	Description
AT1G01010	AT1G01010.1	ANAC001	NA	NAC domain containing protein 1
AT1G01020	AT1G01020.1	ARV1	1	ARV1 family protein
AT1G01030	AT1G01030.1	NGA3	NA	AP2/B3-like transcriptional factor family protein
AT1G01040	AT1G01040.2	ASU1	1	dicer-like 1
AT1G01050	AT1G01050.1	AtPPa1	NA	pyrophosphorylase 1
AT1G01060	AT1G01060.1	LHY	1	Homeodomain-like superfamily protein
AT1G01070	AT1G01070.1	UMAMIT28	NA	nodulin MtN21 /EamA-like transporter family protein
AT1G01080	AT1G01080.2	""	0.79897	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G01090	AT1G01090.1	PDH-E1 ALPHA	NA	pyruvate dehydrogenase E1 alpha
AT1G01100	AT1G01100.1	RPP1.1	1	60S acidic ribosomal protein family
AT1G01110	AT1G01110.2	IQD18	1	IQ-domain 18
AT1G01120	AT1G01120.1	KCS1	1	3-ketoacyl-CoA synthase 1
AT1G01130	AT1G01130.1	""	1	CBL-interacting Serine/Threonine-kinase
AT1G01140	AT1G01140.3	CIPK9	1	CBL-interacting protein kinase 9
AT1G01150	AT1G01150.1	""	NA	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
AT1G01160	AT1G01160.2	GIF2	1	GRF1-interacting factor 2
AT1G01170	AT1G01170.1	""	1	ozone-responsive stress-like protein (DUF1138)
AT1G01180	AT1G01180.1	""	NA	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G01190	AT1G01190.1	CYP78A8	NA	cytochrome P450, family 78, subfamily A, polypeptide 8
AT1G01200	AT1G01200.1	ATRAB-A3	NA	RAB GTPase homolog A3
AT1G01210	AT1G01210.1	""	NA	DNA-directed RNA polymerase, subunit M, archaeal
AT1G01220	AT1G01220.1	AtFKGP	0.325531	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01225	AT1G01225.1	""	NA	NC domain-containing protein-like protein
AT1G01230	AT1G01230.1	AtORM1	NA	ORMDL family protein
AT1G01240	AT1G01240.1	""	0.312036	transmembrane protein
AT1G01250	AT1G01250.1	""	NA	Integrase-type DNA-binding superfamily protein
AT1G01260	AT1G01260.1	bHLH013	1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01280	AT1G01280.1	CYP703	NA	cytochrome P450, family 703, subfamily A, polypeptide 2
AT1G01290	AT1G01290.1	CNX3	1	cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01300	AT1G01300.1	""	1	Eukaryotic aspartyl protease family protein
AT1G01305	AT1G01305.1	""	NA	hypothetical protein
AT1G01310	AT1G01310.1	""	NA	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
AT1G01320	AT1G01320.1	REC1	0.769757	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01340	AT1G01340.2	ACBK1	1	cyclic nucleotide gated channel 10
AT1G01350	AT1G01350.1	""	NA	Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT1G01355	AT1G01355.1	""	NA	Putative endonuclease or glycosyl hydrolase
AT1G01360	AT1G01360.1	PYL9	NA	regulatory component of ABA receptor 1
AT1G01370	AT1G01370.1	CENH3	1	Histone superfamily protein
AT1G01380	AT1G01380.1	ETC1	1	Homeodomain-like superfamily protein
AT1G01390	AT1G01390.1	""	NA	UDP-Glycosyltransferase superfamily protein
AT1G01400	AT1G01400.1	""	NA	hypothetical protein
AT1G01410	AT1G01410.1	APUM22	NA	pumilio 22
AT1G01420	AT1G01420.1	UGT72B3	NA	UDP-glucosyl transferase 72B3
AT1G01430	AT1G01430.1	MOAT3	NA	TRICHOME BIREFRINGENCE-LIKE 25
AT1G01440	AT1G01440.1	""	NA	hypothetical protein (DUF3133)
AT1G01450	AT1G01450.1	""	NA	Protein kinase superfamily protein
AT1G01453	AT1G01453.2	""	NA	late embryogenesis abundant hydroxyproline-rich glycoprotein family protein
AT1G01460	AT1G01460.1	ATPIPK11	NA	Phosphatidylinositol-4-phosphate 5-kinase, core
AT1G01470	AT1G01470.1	AtLEA14	NA	Late embryogenesis abundant protein
AT1G01480	AT1G01480.1	ACS2	1	1-amino-cyclopropane-1-carboxylate synthase 2
AT1G01490	AT1G01490.1	""	1	Heavy metal transport/detoxification superfamily protein
AT1G01500	AT1G01500.1	""	NA	Erythronate-4-phosphate dehydrogenase family protein
AT1G01510	AT1G01510.1	AN	NA	NAD(P)-binding Rossmann-fold superfamily protein
AT1G01520	AT1G01520.1	ASG4	1	Homeodomain-like superfamily protein
AT1G01530	AT1G01530.1	AGL28	NA	AGAMOUS-like 28
AT1G01540	AT1G01540.2	""	1	Protein kinase superfamily protein
AT1G01550	AT1G01550.1	BPS1	1	BPS1-like protein (DUF793)
AT1G01560	AT1G01560.2	ATMPK11	1	MAP kinase 11
AT1G01570	AT1G01570.1	""	NA	transferring glycosyl group transferase (DUF604)
AT1G01580	AT1G01580.1	ATFRO2	NA	ferric reduction oxidase 2
AT1G01590	AT1G01590.1	ATFRO1	NA	ferric reduction oxidase 1
AT1G01600	AT1G01600.1	CYP86A4	NA	cytochrome P450, family 86, subfamily A, polypeptide 4
AT1G01610	AT1G01610.1	ATGPAT4	NA	glycerol-3-phosphate acyltransferase 4
AT1G01620	AT1G01620.1	PIP1;3	NA	plasma membrane intrinsic protein 1C
AT1G01630	AT1G01630.1	""	1	Sec14p-like phosphatidylinositol transfer family protein
AT1G01640	AT1G01640.1	""	NA	BTB/POZ domain-containing protein
AT1G01650	AT1G01650.1	ATSPPL4	0.264416	SIGNAL PEPTIDE PEPTIDASE-LIKE 4
AT1G01660	AT1G01660.1	""	NA	RING/U-box superfamily protein
AT1G01670	AT1G01670.1	""	1	RING/U-box superfamily protein
AT1G01680	AT1G01680.1	ATPUB54	1	plant U-box 54
AT1G01690	AT1G01690.1	ATPRD3	1	putative recombination initiation defects 3
