alt event	gene name	gene type	event type	overlaps with	overlap gene	P val up	P val down	min p val	rank up	rank down	min rank	Q val up	Q val down	min Q val
alt_region_1	AT1G01040	mRNA	intron_ret	miRNA	AT1G01046	1	0.478229	0.478229	11455	9246	9246	1	1	1
alt_region_10	AT1G01290	mRNA	intron_ret	None	None	1	0.101389	0.101389	11455	4159	4159	1	0.548405	0.548405
alt_region_100	AT1G04080	mRNA	intron_ret	None	None	1	0.209259	0.209259	11455	5870	5870	1	0.828707	0.828707
alt_region_1000	AT1G63730	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10000	AT5G62480	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10001	AT5G63020	mRNA	intron_ret	None	None	1	0.922677	0.922677	11455	14532	11455	1	1	1
alt_region_10002	AT5G63120	mRNA	intron_ret	None	None	0.5859	1	0.5859	7730	15386	7730	1	1	1
alt_region_10003	AT5G63220	mRNA	intron_ret	None	None	0.000191	1	0.000191	790	15386	790	0.005665	1	0.005665
alt_region_10004	AT5G63220	mRNA	intron_ret	None	None	0.005902	1	0.005902	1644	15386	1644	0.078588	1	0.078588
alt_region_10005	AT5G63320	mRNA	intron_ret	mRNA	AT5G63340	1	0.979097	0.979097	11455	15137	11455	1	1	1
alt_region_10006	AT5G63370	mRNA	intron_ret	None	None	1	0.614085	0.614085	11455	10783	10783	1	1	1
alt_region_10007	AT5G63370	mRNA	intron_ret	None	None	1	0.553327	0.553327	11455	10146	10146	1	1	1
alt_region_10008	AT5G63370	mRNA	intron_ret	None	None	1	0.752555	0.752555	11455	12414	11455	1	1	1
alt_region_10009	AT5G63370	mRNA	intron_ret	None	None	1	0.735277	0.735277	11455	12208	11455	1	1	1
alt_region_1001	AT1G63740	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10010	AT5G63370	mRNA	intron_ret	None	None	1	0.784307	0.784307	11455	12834	11455	1	1	1
alt_region_10011	AT5G63370	mRNA	intron_ret	None	None	1	0.735611	0.735611	11455	12213	11455	1	1	1
alt_region_10012	AT5G63370	mRNA	intron_ret	None	None	1	0.667528	0.667528	11455	11455	11455	1	1	1
alt_region_10013	AT5G63370	mRNA	intron_ret	None	None	0.198377	1	0.198377	4500	15386	4500	0.804837	1	0.804837
alt_region_10014	AT5G63370	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10015	AT5G63370	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10016	AT5G63370	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10017	AT5G63370	mRNA	intron_ret	None	None	1	0.048152	0.048152	11455	3029	3029	1	0.343514	0.343514
alt_region_10018	AT5G63370	mRNA	intron_ret	None	None	1	0.048163	0.048163	11455	3030	3030	1	0.343526	0.343526
alt_region_10019	AT5G63370	mRNA	intron_ret	None	None	1	0.311409	0.311409	11455	7256	7256	1	1	1
alt_region_1002	AT1G63750	mRNA	intron_ret	transposon_fragment	AT1TE77880	0.53804	1	0.53804	7345	15386	7345	1	1	1
alt_region_10020	AT5G63370	mRNA	intron_ret	None	None	1	0.484114	0.484114	11455	9348	9348	1	1	1
alt_region_10021	AT5G63370	mRNA	intron_ret	None	None	1	0.131342	0.131342	11455	4692	4692	1	0.639464	0.639464
alt_region_10022	AT5G63370	mRNA	intron_ret	None	None	1	0.12572	0.12572	11455	4579	4579	1	0.625337	0.625337
alt_region_10023	AT5G63460	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10024	AT5G63460	mRNA	intron_ret	None	None	0.723826	1	0.723826	8900	15386	8900	1	1	1
alt_region_10025	AT5G63460	mRNA	intron_ret	None	None	0.732736	1	0.732736	8974	15386	8974	1	1	1
alt_region_10026	AT5G63610	mRNA	intron_ret	None	None	1	0.387425	0.387425	11455	8199	8199	1	1	1
alt_region_10027	AT5G63630	mRNA	intron_ret	None	None	1	0.026395	0.026395	11455	2407	2407	1	0.228764	0.228764
alt_region_10028	AT5G63760	mRNA	intron_ret	None	None	1	0.041257	0.041257	11455	2837	2837	1	0.310727	0.310727
alt_region_10029	AT5G63760	mRNA	intron_ret	None	None	1	0.101199	0.101199	11455	4155	4155	1	0.547723	0.547723
alt_region_1003	AT1G63750	mRNA	intron_ret	transposon_fragment	AT1TE77880	0.632913	1	0.632913	8147	15386	8147	1	1	1
alt_region_10030	AT5G63760	mRNA	intron_ret	None	None	1	0.030184	0.030184	11455	2529	2529	1	0.250925	0.250925
alt_region_10031	AT5G63760	mRNA	intron_ret	None	None	1	0.107473	0.107473	11455	4277	4277	1	0.568408	0.568408
alt_region_10032	AT5G63760	mRNA	intron_ret	None	None	1	0.792122	0.792122	11455	12917	11455	1	1	1
alt_region_10033	AT5G63830	mRNA	intron_ret	None	None	1	0.412058	0.412058	11455	8521	8521	1	1	1
alt_region_10034	AT5G63870	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10035	AT5G63870	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10036	AT5G63870	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10037	AT5G63970	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10038	AT5G64170	mRNA	intron_ret	None	None	1	0.10986	0.10986	11455	4312	4312	1	0.576217	0.576217
alt_region_10039	AT5G64200	mRNA	intron_ret	mRNA	AT5G64190	1	0.000056	0.000056	11455	433	433	1	0.002167	0.002167
alt_region_1004	AT1G63850	mRNA	intron_ret	None	None	0.000001	1	0.000001	1	15386	1	0.000077	1	0.000077
alt_region_10040	AT5G64200	mRNA	intron_ret	mRNA	AT5G64190	1	0.000011	0.000011	11455	288	288	1	0.000583	0.000583
alt_region_10041	AT5G64200	mRNA	intron_ret	mRNA	AT5G64190	1	0.000005	0.000005	11455	256	256	1	0.0003	0.0003
alt_region_10042	AT5G64250	mRNA	intron_ret	None	None	0.65191	1	0.65191	8299	15386	8299	1	1	1
alt_region_10043	AT5G64250	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10044	AT5G64250	mRNA	intron_ret	None	None	1	0.874102	0.874102	11455	13929	11455	1	1	1
alt_region_10045	AT5G64340	mRNA	intron_ret	mRNA	AT5G64330	1	0.768553	0.768553	11455	12664	11455	1	1	1
alt_region_10046	AT5G64360	mRNA	intron_ret	None	None	1	0.002706	0.002706	11455	1133	1133	1	0.044982	0.044982
alt_region_10047	AT5G64360	mRNA	intron_ret	None	None	1	0.0038	0.0038	11455	1264	1264	1	0.057669	0.057669
alt_region_10048	AT5G64360	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10049	AT5G64360	mRNA	intron_ret	None	None	1	0.012498	0.012498	11455	1832	1832	1	0.137365	0.137365
alt_region_1005	AT1G63850	mRNA	intron_ret	None	None	0.000003	1	0.000003	373	15386	373	0.000197	1	0.000197
alt_region_10050	AT5G64360	mRNA	intron_ret	None	None	1	0.001753	0.001753	11455	993	993	1	0.032733	0.032733
alt_region_10051	AT5G64360	mRNA	intron_ret	None	None	1	0.000474	0.000474	11455	739	739	1	0.011784	0.011784
alt_region_10052	AT5G64360	mRNA	intron_ret	None	None	1	0.015702	0.015702	11455	1993	1993	1	0.160072	0.160072
alt_region_10053	AT5G64360	mRNA	intron_ret	None	None	1	0.024281	0.024281	11455	2340	2340	1	0.215588	0.215588
alt_region_10054	AT5G64460	mRNA	intron_ret	None	None	1	0.001977	0.001977	11455	1028	1028	1	0.035789	0.035789
alt_region_10055	AT5G64490	mRNA	intron_ret	None	None	0.703471	1	0.703471	8743	15386	8743	1	1	1
alt_region_10056	AT5G64560	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10057	AT5G64570	mRNA	intron_ret	ncRNA	AT5G64572	1	1	1	11455	15386	11455	1	1	1
alt_region_10058	AT5G64685	mRNA	intron_ret	mRNA:transposon_fragment	AT5G64680:AT5TE93050:AT5TE93055	1	0.542387	0.542387	11455	10018	10018	1	1	1
alt_region_10059	AT5G64840	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_1006	AT1G63940	mRNA	intron_ret	None	None	1	0.190731	0.190731	11455	5602	5602	1	0.789861	0.789861
alt_region_10060	AT5G64980	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_10061	AT5G65110	mRNA	intron_ret	None	None	1	0.192162	0.192162	11455	5626	5626	1	0.792938	0.792938
alt_region_10062	AT5G65300	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
